epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0325,1.05667,3.15586,1.31111,0.00607,0.90774,0.37656,0.20067,0.98399,3.39437,1.17747,0.00011669,0.00011669,0.00011669
2,42.4522,0.9788,2.26713,1.22611,0.00603,0.90476,0.53972,0.35913,0.95664,3.10996,1.13411,0.000245099,0.000245099,0.000245099
3,58.0482,0.87307,1.64141,1.13891,1,0.36537,0.70931,0.5248,0.98189,2.83067,1.13557,0.000368227,0.000368227,0.000368227
4,74.2946,0.85135,1.42762,1.09671,0.89799,0.32018,0.72171,0.49294,1.07452,2.84607,1.16635,0.000486074,0.000486074,0.000486074
5,89.5186,0.86371,1.35567,1.10279,0.97335,0.60304,0.76062,0.5705,1.12391,2.63022,1.18168,0.00059864,0.00059864,0.00059864
6,104.465,0.92435,1.28265,1.10212,0.84228,0.49733,0.72301,0.49851,1.23348,2.66171,1.29213,0.000705924,0.000705924,0.000705924
7,119.311,0.88656,1.20177,1.0904,0.91926,0.55423,0.73641,0.5328,1.07926,2.69683,1.21002,0.000807928,0.000807928,0.000807928
8,134.45,0.89952,1.23158,1.12461,0.83053,0.5744,0.68069,0.46393,1.14412,2.67973,1.28654,0.000904651,0.000904651,0.000904651
9,149.413,0.83564,1.11799,1.06218,0.95643,0.66229,0.70899,0.5316,1.05318,2.23167,1.21157,0.000996093,0.000996093,0.000996093
10,164.111,0.83951,1.06554,1.0641,0.83155,0.65179,0.71779,0.55667,1.00752,2.20188,1.18314,0.00108225,0.00108225,0.00108225
11,178.916,0.86669,1.09229,1.0996,0.85004,0.70576,0.73759,0.5281,1.06845,2.07469,1.19677,0.00116313,0.00116313,0.00116313
12,193.633,0.8262,1.06233,1.07995,0.8618,0.64548,0.75636,0.50417,1.158,1.99847,1.26851,0.00123873,0.00123873,0.00123873
13,208.27,0.82422,1.04068,1.07674,0.79974,0.77334,0.7922,0.55125,1.07709,1.85898,1.22403,0.00127092,0.00127092,0.00127092
14,222.692,0.80227,1.00592,1.05685,0.76445,0.75,0.77129,0.57474,1.06938,1.84449,1.249,0.00123791,0.00123791,0.00123791
15,237.403,0.80715,0.98546,1.07046,0.87487,0.72047,0.80924,0.58645,1.04092,1.72548,1.25851,0.00120491,0.00120491,0.00120491
