epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1693,1.06424,3.42522,1.28847,0.00597,0.87879,0.29192,0.1875,1.05009,3.40153,1.17771,0.00012861,0.00012861,0.00012861
2,43.25,0.98665,2.38144,1.18243,0.00561,0.81818,0.43029,0.32882,0.97296,3.0967,1.11262,0.000266134,0.000266134,0.000266134
3,64.1044,0.90456,1.64604,1.12037,1,0.0227,0.44895,0.34144,1.01718,3.02957,1.14024,0.000397999,0.000397999,0.000397999
4,82.0958,0.90226,1.57659,1.10104,0.9411,0.15238,0.44285,0.34143,0.96503,2.92487,1.09476,0.000524206,0.000524206,0.000524206
5,101.296,0.95579,1.46618,1.1303,0.96821,0.21645,0.48524,0.36973,1.10933,2.84218,1.21776,0.000644753,0.000644753,0.000644753
6,119.236,0.91926,1.31883,1.08273,0.92301,0.27293,0.65736,0.4909,1.1117,2.82954,1.26565,0.000759642,0.000759642,0.000759642
7,137.285,0.89916,1.34263,1.11361,0.96777,0.3322,0.67708,0.5079,1.08742,2.57506,1.21433,0.000868872,0.000868872,0.000868872
8,155.069,0.91518,1.2628,1.12075,0.83954,0.40805,0.69736,0.53761,1.15377,2.38276,1.28602,0.000972443,0.000972443,0.000972443
9,173.078,0.92706,1.26139,1.1054,0.756,0.56183,0.70753,0.50989,1.29944,2.28808,1.40114,0.00107036,0.00107036,0.00107036
10,190.972,0.90661,1.19658,1.08301,0.78857,0.59095,0.67935,0.50735,1.14435,1.99879,1.23714,0.00116261,0.00116261,0.00116261
11,208.893,0.8647,1.10748,1.07303,0.78605,0.54705,0.66484,0.46213,1.28884,2.09142,1.36911,0.00114606,0.00114606,0.00114606
12,226.607,0.86511,1.10875,1.05221,0.83018,0.67685,0.75461,0.5683,1.10178,1.96401,1.22287,0.00111776,0.00111776,0.00111776
13,244.489,0.85431,1.08352,1.09576,0.73102,0.66612,0.7426,0.52676,1.22587,1.94813,1.33056,0.00108947,0.00108947,0.00108947
14,262.346,0.84454,1.05393,1.07586,0.77558,0.80688,0.84521,0.57033,1.19217,1.67968,1.27768,0.00106118,0.00106118,0.00106118
15,279.923,0.81726,0.97126,1.05269,0.86294,0.78435,0.87365,0.59713,1.1947,1.5971,1.30019,0.00103288,0.00103288,0.00103288
16,297.779,0.79739,1.0024,1.05081,0.82303,0.8141,0.8982,0.69224,1.09202,1.46448,1.20357,0.00100459,0.00100459,0.00100459
